DateTime,temperature,wind_speed,air_pressure,humidity,wind_direction,rainfall
2016-01-27 04:00:00,25.5,3.0,1010.27,96.0,120.0,
2016-01-27 07:00:00,26.5,5.0,1010.45,86.0,40.0,
2016-01-27 10:00:00,28.6,4.0,1012.41,83.0,20.0,
2016-01-27 13:00:00,27.9,9.0,1011.62,83.0,80.0,
2016-01-27 16:00:00,27.9,7.0,1008.74,85.0,70.0,
2016-01-27 19:00:00,27.0,4.0,1010.18,88.0,350.0,
2016-01-27 22:00:00,26.8,6.0,1012.27,90.0,80.0,
2016-01-28 01:00:00,27.0,12.0,1011.47,90.0,10.0,33.5
2016-01-28 04:00:00,26.4,4.0,1009.39,95.0,100.0,
2016-01-28 07:00:00,26.0,3.0,1010.45,96.0,180.0,
2016-01-28 10:00:00,29.0,4.0,1012.07,86.0,80.0,
2016-01-28 13:00:00,29.6,9.0,1010.87,75.0,90.0,
2016-01-28 16:00:00,29.1,11.0,1008.27,78.0,70.0,
2016-01-28 19:00:00,27.8,3.0,1010.38,86.0,170.0,
2016-01-28 22:00:00,27.2,5.0,1011.57,90.0,70.0,
2016-01-29 01:00:00,26.1,0.0,1010.98,95.0,0.0,12.8
2016-01-29 04:00:00,25.4,0.0,1009.86,95.0,0.0,
2016-01-29 07:00:00,26.0,0.0,1010.98,96.0,0.0,
2016-01-29 10:00:00,28.8,0.0,1012.94,89.0,0.0,
2016-01-29 13:00:00,31.4,8.0,1011.57,67.0,40.0,
2016-01-29 16:00:00,30.0,9.0,1008.59,71.0,60.0,
2016-01-29 19:00:00,27.8,4.0,1009.54,86.0,100.0,
2016-01-29 22:00:00,27.2,3.0,1011.87,87.0,90.0,
2016-01-30 01:00:00,26.1,3.0,1010.45,96.0,110.0,0.0
2016-01-30 04:00:00,24.2,0.0,1009.76,95.0,0.0,
2016-01-30 07:00:00,24.6,0.0,1009.71,97.0,0.0,
2016-01-30 10:00:00,28.6,6.0,1012.17,77.0,50.0,
2016-01-30 13:00:00,30.1,6.0,1010.9,66.0,90.0,
2016-01-30 16:00:00,30.3,3.0,1008.45,69.0,340.0,
2016-01-30 19:00:00,28.5,4.0,1009.07,85.0,30.0,
2016-01-30 22:00:00,27.3,0.0,1011.47,86.0,0.0,
2016-01-31 01:00:00,26.6,0.0,1010.48,87.0,0.0,0.0
2016-01-31 04:00:00,25.9,0.0,1009.19,92.0,0.0,
2016-01-31 07:00:00,24.2,0.0,1010.21,97.0,0.0,
2016-01-31 10:00:00,27.7,3.0,1011.99,88.0,270.0,
2016-01-31 13:00:00,31.4,4.0,1010.63,60.0,50.0,
2016-01-31 16:00:00,30.6,8.0,1008.67,62.0,40.0,
2016-01-31 19:00:00,28.5,3.0,1008.67,78.0,50.0,
2016-01-31 22:00:00,27.3,0.0,1011.11,85.0,0.0,
2016-02-01 01:00:00,27.0,0.0,1010.77,86.0,0.0,
2016-02-01 04:00:00,25.6,0.0,1009.55,92.0,0.0,
2016-02-01 07:00:00,25.5,0.0,1009.92,90.0,0.0,
2016-02-01 10:00:00,30.1,7.0,1012.2,65.0,120.0,
2016-02-01 13:00:00,30.6,8.0,1010.65,62.0,40.0,
2016-02-01 16:00:00,30.3,5.0,1008.69,63.0,40.0,
2016-02-01 19:00:00,28.0,5.0,1009.14,77.0,50.0,
2016-02-01 22:00:00,27.3,0.0,1011.11,82.0,0.0,
2016-02-02 01:00:00,26.2,0.0,1010.49,89.0,0.0,
2016-02-02 04:00:00,24.4,0.0,1009.45,90.0,0.0,
2016-02-02 07:00:00,23.9,0.0,1010.32,97.0,0.0,
2016-02-02 10:00:00,29.3,0.0,1011.69,74.0,0.0,
2016-02-02 13:00:00,31.2,8.0,1010.27,60.0,40.0,
2016-02-02 16:00:00,30.6,5.0,1008.12,60.0,50.0,
2016-02-02 19:00:00,28.3,3.0,1009.02,77.0,10.0,
2016-02-02 22:00:00,27.6,0.0,1010.8,80.0,0.0,
2016-02-03 01:00:00,26.8,0.0,1010.24,86.0,0.0,
2016-02-03 04:00:00,25.4,0.0,1008.88,92.0,0.0,
2016-02-03 07:00:00,27.0,3.0,1009.28,82.0,340.0,
2016-02-03 10:00:00,29.8,6.0,1011.2,69.0,70.0,
2016-02-03 13:00:00,30.8,6.0,1010.58,64.0,60.0,
2016-02-03 16:00:00,29.7,15.0,1008.61,67.0,90.0,
2016-02-03 19:00:00,28.2,8.0,1009.34,76.0,310.0,
2016-02-03 22:00:00,28.1,5.0,1011.2,72.0,180.0,
2016-02-04 01:00:00,27.9,8.0,1010.9,73.0,80.0,
2016-02-04 04:00:00,27.7,3.0,1009.11,77.0,20.0,
2016-02-04 07:00:00,27.5,4.0,1009.81,78.0,30.0,
2016-02-04 10:00:00,29.1,4.0,1011.05,77.0,20.0,
2016-02-04 13:00:00,28.0,9.0,1009.61,82.0,30.0,
2016-02-04 16:00:00,28.8,10.0,1007.51,72.0,90.0,
2016-02-04 19:00:00,27.8,4.0,1008.54,79.0,120.0,
2016-02-04 22:00:00,27.0,0.0,1010.7,86.0,0.0,
2016-02-05 01:00:00,27.5,0.0,1009.91,83.0,0.0,
2016-02-05 04:00:00,26.0,0.0,1008.52,90.0,0.0,
2016-02-05 07:00:00,26.5,7.0,1008.74,88.0,50.0,
2016-02-05 10:00:00,27.0,6.0,1010.95,90.0,50.0,
2016-02-05 13:00:00,31.4,7.0,1008.6,67.0,70.0,
2016-02-05 16:00:00,29.1,6.0,1006.25,79.0,110.0,
2016-02-05 19:00:00,28.3,3.0,1007.33,81.0,40.0,
2016-02-05 22:00:00,27.7,0.0,1009.41,83.0,0.0,
2016-02-06 01:00:00,27.4,0.0,1008.62,85.0,0.0,
2016-02-06 04:00:00,26.8,0.0,1006.97,89.0,0.0,
2016-02-06 07:00:00,26.7,3.0,1008.26,86.0,130.0,
2016-02-06 10:00:00,28.4,8.0,1010.7,80.0,110.0,
2016-02-06 13:00:00,28.1,4.0,1009.24,86.0,140.0,
2016-02-06 16:00:00,28.6,7.0,1006.96,80.0,70.0,
2016-02-06 19:00:00,27.7,6.0,1008.64,79.0,120.0,
2016-02-06 22:00:00,27.9,10.0,1010.9,78.0,90.0,
2016-02-07 01:00:00,27.5,4.0,1010.01,79.0,100.0,
2016-02-07 04:00:00,27.1,7.0,1008.92,82.0,40.0,
2016-02-07 07:00:00,27.2,6.0,1009.68,81.0,40.0,
2016-02-07 10:00:00,28.5,6.0,1011.8,76.0,100.0,
2016-02-07 13:00:00,28.5,10.0,1011.1,71.0,110.0,
2016-02-07 16:00:00,27.8,10.0,1009.02,79.0,90.0,
2016-02-07 19:00:00,26.7,9.0,1010.01,77.0,70.0,
2016-02-07 22:00:00,26.5,10.0,1013.09,73.0,350.0,
2016-02-08 01:00:00,26.4,8.0,1012.07,70.0,10.0,
2016-02-08 04:00:00,26.0,5.0,1011.17,69.0,240.0,
2016-02-08 07:00:00,26.0,6.0,1011.05,73.0,50.0,
2016-02-08 10:00:00,28.1,5.0,1012.7,63.0,80.0,
2016-02-08 13:00:00,28.8,4.0,1011.13,65.0,70.0,
2016-02-08 16:00:00,29.0,4.0,1009.02,59.0,80.0,
2016-02-08 19:00:00,27.0,0.0,1009.78,70.0,0.0,
2016-02-08 22:00:00,25.2,0.0,1012.33,84.0,0.0,
2016-02-09 01:00:00,25.0,0.0,1011.88,86.0,0.0,
2016-02-09 04:00:00,25.4,0.0,1010.19,81.0,0.0,
2016-02-09 07:00:00,25.2,3.0,1010.8,77.0,110.0,
2016-02-09 10:00:00,27.7,5.0,1012.78,65.0,90.0,
2016-02-09 13:00:00,30.1,2.0,1011.32,53.0,70.0,
2016-02-09 16:00:00,0.0,0.0,0.0,0.0,0.0,
2016-02-09 19:00:00,26.9,3.0,1010.33,72.0,30.0,
2016-02-09 22:00:00,26.1,0.0,1011.91,78.0,0.0,
2016-02-10 01:00:00,25.6,0.0,1010.92,83.0,0.0,
2016-02-10 04:00:00,24.9,0.0,1009.67,89.0,0.0,
2016-02-10 07:00:00,25.7,8.0,1010.48,82.0,20.0,
