Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,13T,14T,16T,17T,18T,19T,20T,21T,22T,24T,25T,26T,27T,28T,29T,30T,31T,32T,33T,34T,35T,36T,37T,38T,39T,40T,41T,42T,43T,44T,46T,47T,60T,62T,63T,57T,58T,67T,68T,69T,70T*,70T**,71T,72T,73T,74T,75T,76T,77T,78T,79T,80T,81T
2019-02-08 00:00:00,,14.0,22.0,24.0,,21.0,26.0,41.0,25.0,21.0,25.0,34.0,32.0,20.0,26.0,,19.0,18.0,22.0,28.0,32.0,,50.0,37.0,32.0,14.0,,20.0,,15.0,21.0,21.0,19.0,25.0,21.0,49.0,65.0,45.0,46.0,43.0,13.0,,,97.0,,,16.0,17.0,34.0,41.0,39.0,36.0,76.0,35.0,,26.0,62.0,25.0,,19.0,59.0,37.0,,42.0,11.0,
2019-02-09 00:00:00,,9.0,15.0,20.0,,15.0,19.0,34.0,20.0,16.0,20.0,28.0,25.0,17.0,20.0,,13.0,14.0,16.0,26.0,26.0,,54.0,30.0,28.0,7.0,,19.0,11.0,17.0,17.0,19.0,15.0,25.0,24.0,49.0,96.0,44.0,82.0,53.0,20.0,,,100.0,,,14.0,18.0,39.0,38.0,33.0,36.0,65.0,33.0,,26.0,75.0,26.0,,22.0,48.0,31.0,,40.0,11.0,
2019-02-10 00:00:00,,13.0,18.0,22.0,,18.0,22.0,27.0,25.0,20.0,23.0,30.0,28.0,20.0,20.0,,18.0,19.0,23.0,29.0,25.0,,44.0,30.0,32.0,12.0,,22.0,16.0,16.0,24.0,24.0,21.0,29.0,26.0,66.0,115.0,52.0,90.0,51.0,22.0,,,99.0,,,17.0,20.0,41.0,43.0,45.0,49.0,90.0,34.0,,27.0,78.0,29.0,,30.0,44.0,33.0,,42.0,13.0,
2019-02-11 00:00:00,,16.0,22.0,24.0,,22.0,26.0,38.0,27.0,23.0,26.0,28.0,33.0,23.0,26.0,,18.0,20.0,23.0,34.0,29.0,,50.0,36.0,29.0,15.0,,20.0,15.0,13.0,22.0,22.0,22.0,39.0,38.0,86.0,106.0,111.0,102.0,35.0,15.0,,,68.0,,,17.0,20.0,35.0,52.0,59.0,60.0,129.0,40.0,,34.0,64.0,33.0,,49.0,51.0,34.0,,35.0,9.0,
2019-02-12 00:00:00,,24.0,25.0,33.0,,25.0,34.0,42.0,36.0,27.0,36.0,36.0,39.0,31.0,37.0,,25.0,23.0,28.0,32.0,40.0,,63.0,42.0,38.0,17.0,,18.0,17.0,15.0,24.0,29.0,21.0,82.0,74.0,88.0,71.0,95.0,71.0,30.0,18.0,,,45.0,,,17.0,13.0,59.0,45.0,58.0,90.0,101.0,67.0,,36.0,23.0,60.0,,46.0,58.0,52.0,,41.0,10.0,
2019-02-13 00:00:00,,45.0,44.0,52.0,,50.0,59.0,64.0,62.0,58.0,61.0,67.0,66.0,55.0,58.0,,47.0,52.0,52.0,60.0,57.0,,75.0,60.0,78.0,64.0,,32.0,30.0,31.0,34.0,40.0,35.0,74.0,72.0,54.0,37.0,41.0,55.0,42.0,15.0,,,65.0,,,19.0,18.0,57.0,41.0,45.0,74.0,60.0,59.0,,52.0,36.0,62.0,,40.0,54.0,66.0,,70.0,10.0,
2019-02-14 00:00:00,,19.0,28.0,28.0,,24.0,29.0,42.0,31.0,27.0,28.0,39.0,34.0,25.0,29.0,,22.0,21.0,24.0,37.0,39.0,,71.0,40.0,41.0,19.0,,20.0,17.0,21.0,24.0,22.0,20.0,42.0,42.0,56.0,40.0,49.0,62.0,53.0,17.0,,,61.0,,,14.0,20.0,36.0,35.0,55.0,60.0,61.0,40.0,,43.0,43.0,36.0,,41.0,51.0,43.0,,65.0,11.0,
2019-02-15 00:00:00,,18.0,24.0,26.0,,22.0,27.0,36.0,29.0,24.0,26.0,31.0,32.0,23.0,26.0,,21.0,20.0,23.0,27.0,31.0,,48.0,33.0,29.0,16.0,,19.0,15.0,20.0,23.0,23.0,18.0,46.0,38.0,65.0,49.0,55.0,68.0,38.0,16.0,,,74.0,,,17.0,22.0,42.0,34.0,59.0,72.0,55.0,52.0,,34.0,60.0,40.0,,47.0,54.0,32.0,,43.0,9.0,
2019-02-16 00:00:00,,14.0,19.0,22.0,,21.0,21.0,32.0,25.0,21.0,22.0,30.0,28.0,20.0,28.0,,17.0,17.0,17.0,25.0,27.0,,46.0,30.0,30.0,15.0,,18.0,12.0,17.0,20.0,20.0,15.0,56.0,46.0,54.0,43.0,52.0,62.0,36.0,20.0,,,79.0,,,17.0,20.0,47.0,37.0,46.0,75.0,48.0,52.0,,28.0,69.0,47.0,,44.0,49.0,28.0,,46.0,10.0,
2019-02-17 00:00:00,,10.0,14.0,17.0,,15.0,18.0,27.0,20.0,17.0,16.0,22.0,25.0,17.0,22.0,,13.0,15.0,15.0,19.0,23.0,,34.0,23.0,27.0,13.0,,13.0,9.0,14.0,18.0,16.0,14.0,40.0,41.0,28.0,20.0,31.0,32.0,39.0,20.0,,,52.0,,,21.0,19.0,32.0,34.0,30.0,51.0,27.0,29.0,,21.0,27.0,39.0,,21.0,40.0,28.0,,39.0,12.0,
2019-02-18 00:00:00,,8.0,12.0,15.0,,13.0,16.0,30.0,20.0,14.0,16.0,19.0,25.0,14.0,23.0,,11.0,12.0,14.0,19.0,23.0,,36.0,22.0,25.0,12.0,,15.0,9.0,14.0,16.0,14.0,14.0,47.0,45.0,43.0,27.0,39.0,41.0,27.0,15.0,,,42.0,,,19.0,19.0,29.0,43.0,39.0,56.0,33.0,46.0,,21.0,22.0,34.0,,29.0,40.0,26.0,,27.0,13.0,
2019-02-19 00:00:00,,5.0,,13.0,,7.0,13.0,23.0,16.0,13.0,13.0,15.0,21.0,11.0,14.0,,8.0,10.0,13.0,17.0,19.0,,29.0,16.0,12.0,9.0,,12.0,8.0,11.0,14.0,18.0,12.0,60.0,52.0,47.0,27.0,41.0,44.0,27.0,17.0,,,51.0,,,19.0,19.0,32.0,49.0,42.0,63.0,36.0,59.0,,20.0,25.0,40.0,,34.0,55.0,22.0,,28.0,12.0,
2019-02-20 00:00:00,,7.0,,15.0,,8.0,16.0,34.0,19.0,14.0,14.0,19.0,22.0,14.0,19.0,,10.0,11.0,13.0,15.0,23.0,,34.0,22.0,23.0,11.0,,12.0,11.0,16.0,13.0,20.0,10.0,57.0,51.0,59.0,37.0,51.0,54.0,34.0,16.0,,,60.0,,,19.0,16.0,34.0,43.0,49.0,66.0,41.0,60.0,,21.0,30.0,42.0,,36.0,52.0,27.0,,31.0,13.0,
2019-02-21 00:00:00,,13.0,16.0,20.0,,13.0,21.0,33.0,24.0,18.0,20.0,26.0,26.0,17.0,21.0,,14.0,14.0,16.0,22.0,26.0,,41.0,26.0,26.0,14.0,,19.0,14.0,19.0,11.0,25.0,15.0,63.0,56.0,93.0,42.0,68.0,62.0,41.0,14.0,,,70.0,,,18.0,16.0,32.0,49.0,60.0,83.0,59.0,46.0,,25.0,32.0,42.0,,43.0,58.0,29.0,,42.0,9.0,
2019-02-22 00:00:00,,9.0,13.0,16.0,,10.0,18.0,31.0,18.0,15.0,16.0,22.0,24.0,14.0,23.0,,13.0,12.0,14.0,23.0,28.0,,42.0,22.0,28.0,15.0,,17.0,12.0,13.0,10.0,18.0,11.0,59.0,63.0,87.0,41.0,82.0,68.0,45.0,18.0,,,69.0,,,17.0,17.0,42.0,59.0,58.0,91.0,65.0,48.0,,24.0,39.0,49.0,,42.0,56.0,27.0,,41.0,9.0,
