Date,05T,10T,11T,59T,61T,03T,50T,52T,53T,54T,08T,14T,17T,18T,19T,20T,21T,24T,25T,26T,27T,29T,30T,31T,32T,33T,34T,35T,36T,37T,38T,39T,40T,41T,42T,44T,46T,62T,63T,57T,58T,67T,68T,69T,70T,71T,72T,73T,75T,76T,77T,79T,80T
2018-02-23 00:00:00,31,,,,29.0,,33.0,38.0,29.0,,30.0,,,,35.0,,,30.0,,20.0,18.0,,11.0,,31.0,,,41.0,39.0,,,,22.0,,,7.0,19.0,15.0,17.0,,,,,,,,,,11.0,35.0,32.0,32.0,9.0
2018-02-24 00:00:00,40,,,,40.0,,41.0,48.0,41.0,,37.0,,,,40.0,,,45.0,,26.0,29.0,,16.0,,46.0,,,47.0,39.0,,,,23.0,,,9.0,27.0,13.0,14.0,,,,,,,,,,11.0,24.0,50.0,35.0,9.0
2018-02-25 00:00:00,35,,,,37.0,,36.0,48.0,41.0,,32.0,,,,35.0,,,46.0,,41.0,21.0,,21.0,,36.0,,,42.0,37.0,,,,34.0,,,12.0,38.0,17.0,22.0,,,,,,,,,,17.0,28.0,48.0,53.0,14.0
2018-02-26 00:00:00,40,,,,38.0,,44.0,55.0,40.0,,41.0,,,,39.0,,,43.0,,40.0,37.0,,17.0,,35.0,,,54.0,49.0,,,,33.0,,,11.0,25.0,19.0,23.0,,,,,,,,,,21.0,29.0,44.0,40.0,14.0
2018-02-27 00:00:00,31,,,,29.0,,33.0,32.0,35.0,,30.0,,,,33.0,,,39.0,,28.0,25.0,,15.0,,25.0,,,53.0,43.0,,,,31.0,,,10.0,26.0,19.0,21.0,,,,,,,,,,22.0,34.0,39.0,32.0,12.0
2018-02-28 00:00:00,38,,,,39.0,,42.0,38.0,40.0,,37.0,,,,37.0,,,46.0,,24.0,38.0,,17.0,,30.0,,,75.0,75.0,,,,36.0,,,9.0,41.0,,19.0,,,,,,,,,,29.0,54.0,40.0,26.0,12.0
2018-03-01 00:00:00,24,,,,26.0,,28.0,27.0,29.0,,23.0,,,,25.0,,,42.0,,29.0,22.0,,16.0,,30.0,,,79.0,82.0,,,,50.0,,,12.0,60.0,13.0,22.0,,,,,,,,,,35.0,54.0,50.0,28.0,16.0
2018-03-02 00:00:00,24,,,,21.0,,27.0,27.0,25.0,,17.0,,,,29.0,,,41.0,,29.0,21.0,,14.0,,27.0,,,72.0,74.0,,,,54.0,,,9.0,59.0,16.0,16.0,,,,,,,,,,41.0,63.0,39.0,26.0,12.0
2018-03-03 00:00:00,15,,,,13.0,,19.0,19.0,17.0,,,,,,20.0,,,34.0,,22.0,12.0,,9.0,,15.0,,,57.0,58.0,,,,48.0,,,9.0,52.0,12.0,17.0,,,,,,,,,,32.0,59.0,25.0,36.0,10.0
2018-03-04 00:00:00,12,,,,11.0,,19.0,18.0,16.0,,,,,,15.0,,,32.0,,21.0,11.0,,6.0,,12.0,,,59.0,,,,,67.0,,,7.0,48.0,12.0,17.0,,,,,,,,,,34.0,69.0,21.0,39.0,12.0
2018-03-05 00:00:00,11,,,,10.0,,18.0,14.0,17.0,,,,,,18.0,,,46.0,,23.0,9.0,,10.0,,16.0,,,67.0,66.0,,,,117.0,,,7.0,50.0,15.0,19.0,,,,,,,,,,50.0,100.0,28.0,46.0,9.0
2018-03-06 00:00:00,14,,,,12.0,,20.0,17.0,17.0,,,,,,23.0,,,37.0,,17.0,,,10.0,,19.0,,,94.0,86.0,,,,81.0,,,6.0,69.0,13.0,18.0,,,,,,,,,,46.0,107.0,21.0,35.0,10.0
2018-03-07 00:00:00,17,,,,15.0,,22.0,19.0,22.0,,,,,,25.0,,,29.0,,18.0,,,10.0,,26.0,,,65.0,68.0,,,,83.0,,,8.0,34.0,15.0,20.0,,,,,,,,,,58.0,91.0,22.0,34.0,9.0
2018-03-08 00:00:00,23,,,,23.0,,30.0,29.0,27.0,,23.0,,,,28.0,,,39.0,,21.0,12.0,,13.0,,26.0,,,102.0,100.0,,,,61.0,,,10.0,33.0,12.0,18.0,,,,,,,,,,68.0,133.0,23.0,23.0,12.0
2018-03-09 00:00:00,29,,,,27.0,,31.0,32.0,28.0,,30.0,,,,29.0,,,30.0,,27.0,31.0,,21.0,,31.0,,,73.0,72.0,,,,41.0,,,11.0,27.0,18.0,19.0,,,,,,,,,,16.0,114.0,24.0,24.0,13.0
2018-03-10 00:00:00,43,,,,41.0,,43.0,47.0,43.0,,42.0,,,,44.0,,,38.0,,39.0,53.0,,25.0,,37.0,,,39.0,38.0,,,,38.0,,,10.0,40.0,14.0,20.0,,,,,,,,,,18.0,50.0,46.0,37.0,13.0
2018-03-11 00:00:00,62,,,,61.0,,61.0,65.0,58.0,,66.0,,,,67.0,,,55.0,,63.0,70.0,,37.0,,56.0,,,56.0,59.0,,,,61.0,,,14.0,40.0,20.0,23.0,,,,,,,,,,27.0,54.0,57.0,52.0,14.0
2018-03-12 00:00:00,76,,,,76.0,,80.0,87.0,75.0,,82.0,,,,74.0,,,81.0,,74.0,87.0,,40.0,,66.0,,,51.0,54.0,,,,62.0,,,16.0,43.0,21.0,25.0,,,,,,,,,,44.0,56.0,68.0,63.0,17.0
2018-03-13 00:00:00,40,,,,40.0,,43.0,45.0,42.0,,40.0,,,,36.0,,,66.0,,59.0,,,22.0,,44.0,,,46.0,48.0,,,,56.0,,,13.0,57.0,18.0,23.0,,,,,,,,,,38.0,58.0,69.0,47.0,14.0
2018-03-14 00:00:00,28,,,,,,30.0,33.0,29.0,,26.0,,,,27.0,,,43.0,,30.0,,,17.0,,30.0,,,66.0,61.0,,,,74.0,,,15.0,58.0,20.0,24.0,,,,,,,,,,42.0,70.0,40.0,35.0,18.0
2018-03-15 00:00:00,26,,,,30.0,,27.0,26.0,24.0,,24.0,,,,30.0,,,38.0,,24.0,,,11.0,,27.0,,,74.0,74.0,,,,73.0,,,14.0,41.0,16.0,22.0,,,,,,,,,,58.0,69.0,29.0,36.0,18.0
2018-03-16 00:00:00,25,,,,31.0,,26.0,,25.0,,28.0,,,,28.0,,,32.0,,27.0,17.0,,13.0,,27.0,,,86.0,83.0,,,,75.0,,,16.0,45.0,18.0,20.0,,,,,,,,,,65.0,74.0,35.0,42.0,15.0
2018-03-17 00:00:00,19,,,,22.0,,20.0,20.0,18.0,,21.0,,,,22.0,,,37.0,,16.0,14.0,,11.0,,21.0,,,88.0,87.0,,,,62.0,,,8.0,56.0,12.0,18.0,,,,,,,,,,53.0,87.0,27.0,32.0,12.0
2018-03-18 00:00:00,14,,,,18.0,,16.0,16.0,13.0,,,,,,18.0,,,29.0,,16.0,,,9.0,,21.0,,,97.0,95.0,,,,75.0,,,7.0,58.0,15.0,18.0,,,,,,,,,,51.0,73.0,28.0,31.0,7.0
2018-03-19 00:00:00,15,,,,19.0,,16.0,16.0,15.0,,17.0,,,,21.0,,,28.0,,16.0,,,8.0,,18.0,,,67.0,73.0,,,,80.0,,,,47.0,16.0,20.0,,,,,,,,,,35.0,62.0,30.0,39.0,11.0
2018-03-20 00:00:00,22,,,,25.0,,25.0,25.0,21.0,,28.0,,,,23.0,,,40.0,,28.0,17.0,,11.0,,21.0,,,60.0,59.0,,,,81.0,,,,59.0,22.0,21.0,,,,,,,,,,46.0,98.0,28.0,40.0,12.0
2018-03-21 00:00:00,27,,,,29.0,,26.0,25.0,25.0,,30.0,,,,26.0,,,36.0,,25.0,15.0,,14.0,,26.0,,,82.0,83.0,,,,95.0,,,15.0,35.0,20.0,24.0,,,,,,,,,,62.0,111.0,24.0,37.0,14.0
2018-03-22 00:00:00,38,,,,38.0,,34.0,38.0,32.0,,38.0,,,,34.0,,,44.0,,30.0,26.0,,18.0,,35.0,,,79.0,74.0,,,,68.0,,,14.0,46.0,16.0,23.0,,,,,,,,,,85.0,84.0,38.0,34.0,11.0
2018-03-23 00:00:00,46,,,,52.0,,45.0,48.0,42.0,,49.0,,,,44.0,,,48.0,,41.0,37.0,,25.0,,40.0,,,72.0,69.0,,,,77.0,,,12.0,42.0,16.0,20.0,,,,,,,,,,62.0,73.0,46.0,51.0,11.0
2018-03-24 00:00:00,54,,,,60.0,,50.0,50.0,51.0,,54.0,,,,52.0,,,68.0,,44.0,42.0,,25.0,,44.0,,,68.0,64.0,,,,74.0,,,13.0,49.0,15.0,19.0,,,,,,,,,,80.0,80.0,63.0,60.0,12.0
2018-03-25 00:00:00,41,,,,47.0,,37.0,37.0,38.0,,,,,,40.0,,,68.0,,46.0,29.0,,23.0,,41.0,,,76.0,72.0,,,,81.0,,,15.0,57.0,20.0,23.0,,,,,,,,,,89.0,64.0,55.0,55.0,17.0
2018-03-26 00:00:00,33,,,,36.0,,31.0,29.0,30.0,,34.0,,,,30.0,,,51.0,,38.0,21.0,,20.0,,33.0,,,70.0,71.0,,,,87.0,,,15.0,55.0,18.0,24.0,,,,,,,,,,88.0,50.0,46.0,46.0,15.0
2018-03-27 00:00:00,45,,,,41.0,,43.0,42.0,41.0,,,,,,95.0,,,63.0,,46.0,32.0,,19.0,,44.0,,,57.0,60.0,,,,72.0,,,18.0,43.0,23.0,25.0,,,,,,,,,,48.0,49.0,50.0,38.0,19.0
2018-03-28 00:00:00,35,,,,33.0,,33.0,32.0,32.0,,31.0,,,,32.0,,,58.0,,30.0,25.0,,19.0,,30.0,,,77.0,74.0,,,,79.0,,,19.0,58.0,29.0,26.0,,,,,,,,,,47.0,71.0,37.0,31.0,24.0
2018-03-29 00:00:00,32,,,,29.0,,28.0,28.0,25.0,,28.0,,,,33.0,,,32.0,,26.0,21.0,,17.0,,23.0,,,104.0,108.0,,,,89.0,,,20.0,72.0,25.0,30.0,,,,,,,,,,62.0,74.0,24.0,35.0,21.0
2018-03-30 00:00:00,35,,,28.0,31.0,,32.0,29.0,31.0,,29.0,,,,33.0,,,35.0,,33.0,24.0,,22.0,,26.0,,,105.0,107.0,,,,81.0,,,26.0,44.0,26.0,27.0,,,,,,,,,,65.0,69.0,28.0,42.0,21.0
2018-03-31 00:00:00,37,,,30.0,34.0,,33.0,30.0,34.0,,31.0,,,,39.0,,,43.0,,31.0,22.0,,19.0,,26.0,,,,72.0,,,,68.0,,,29.0,44.0,32.0,27.0,,,,,,,,,,51.0,62.0,30.0,35.0,20.0
2018-04-01 00:00:00,47,,,33.0,45.0,,42.0,42.0,44.0,,40.0,,,,39.0,,,41.0,,33.0,35.0,,15.0,,31.0,,,47.0,45.0,,,,48.0,,,31.0,39.0,32.0,37.0,,,,,,,,,,40.0,34.0,39.0,34.0,18.0
2018-04-02 00:00:00,42,,,36.0,44.0,,41.0,42.0,43.0,,44.0,,,,42.0,,,56.0,,35.0,38.0,,17.0,,27.0,,,52.0,52.0,,,,49.0,,,24.0,47.0,26.0,28.0,,,,,,,,,,40.0,42.0,46.0,42.0,22.0
2018-04-03 00:00:00,,,,33.0,43.0,,45.0,45.0,40.0,,47.0,,,,43.0,,,49.0,,30.0,36.0,,16.0,,29.0,,,34.0,34.0,,,,33.0,,,19.0,58.0,23.0,29.0,,,,,,,,,,25.0,38.0,40.0,30.0,23.0
2018-04-04 00:00:00,,,,26.0,30.0,,29.0,23.0,27.0,,31.0,,,,,,,37.0,,32.0,21.0,,18.0,,24.0,,,41.0,43.0,,,,50.0,,,19.0,72.0,25.0,29.0,,,,,,,,,,33.0,35.0,30.0,34.0,24.0
2018-04-05 00:00:00,,,,26.0,34.0,,34.0,21.0,32.0,,37.0,,,,31.0,,,48.0,,29.0,30.0,,19.0,,27.0,,,33.0,37.0,,,,30.0,,,19.0,62.0,23.0,28.0,,,,,,,,,,25.0,28.0,30.0,36.0,23.0
2018-04-06 00:00:00,,,,36.0,43.0,,43.0,36.0,43.0,,51.0,,,,40.0,,,42.0,,29.0,37.0,,22.0,,30.0,,,26.0,28.0,,,,30.0,,,19.0,46.0,26.0,31.0,,,,,,,,,,28.0,40.0,28.0,22.0,21.0
2018-04-07 00:00:00,,,,12.0,20.0,,19.0,15.0,20.0,,27.0,,,,17.0,,,13.0,,28.0,23.0,,9.0,,16.0,,,23.0,20.0,,,,12.0,,,13.0,20.0,25.0,26.0,,,,,,,,,,,19.0,12.0,18.0,16.0
2018-04-08 00:00:00,,,,20.0,26.0,,28.0,24.0,28.0,,30.0,,,,20.0,,,23.0,,25.0,36.0,,12.0,,16.0,,,18.0,14.0,,,,17.0,,,12.0,32.0,17.0,20.0,,,,,,,,,,19.0,16.0,18.0,20.0,13.0
