Date,44T
18/5/2019,33
19/5/2019,38
20/5/2019,34
21/5/2019,30
22/5/2019,22
23/5/2019,25
24/5/2019,
25/5/2019,
26/5/2019,
27/5/2019,
28/5/2019,
29/5/2019,
30/5/2019,
31/5/2019,
1/6/2019,
2/6/2019,
3/6/2019,
4/6/2019,
5/6/2019,
6/6/2019,
7/6/2019,
8/6/2019,
9/6/2019,
10/6/2019,
11/6/2019,
12/6/2019,
13/6/2019,
14/6/2019,
15/6/2019,25
16/6/2019,34
17/6/2019,44
18/6/2019,43
19/6/2019,36
20/6/2019,33
21/6/2019,26
22/6/2019,25
23/6/2019,19
24/6/2019,26
25/6/2019,39
26/6/2019,27
27/6/2019,37
28/6/2019,49
29/6/2019,54
30/6/2019,48
1/7/2019,44
2/7/2019,49
3/7/2019,49
4/7/2019,40
5/7/2019,56
6/7/2019,46
7/7/2019,41
8/7/2019,48
9/7/2019,38
10/7/2019,34
11/7/2019,33
12/7/2019,34
13/7/2019,43
14/7/2019,30
15/7/2019,27
16/7/2019,26
17/7/2019,24
18/7/2019,24
19/7/2019,37
20/7/2019,53
21/7/2019,39
22/7/2019,42
23/7/2019,43
24/7/2019,35
25/7/2019,46
26/7/2019,39
27/7/2019,50
28/7/2019,41
29/7/2019,52
30/7/2019,50
31/7/2019,56
1/8/2019,47
2/8/2019,49
3/8/2019,44
4/8/2019,55
5/8/2019,60
6/8/2019,55
7/8/2019,49
8/8/2019,36
9/8/2019,28
10/8/2019,28
11/8/2019,27
12/8/2019,43
13/8/2019,51
14/8/2019,35
15/8/2019,24
16/8/2019,24
17/8/2019,27
18/8/2019,29
19/8/2019,44
20/8/2019,53
21/8/2019,35
22/8/2019,18
23/8/2019,24
24/8/2019,25
25/8/2019,19
26/8/2019,35
27/8/2019,33
28/8/2019,29
29/8/2019,35
30/8/2019,31
31/8/2019,43
1/9/2019,45
2/9/2019,42
3/9/2019,60
4/9/2019,65
5/9/2019,71
6/9/2019,56
7/9/2019,73
8/9/2019,67
9/9/2019,57
10/9/2019,53
11/9/2019,58
12/9/2019,50
13/9/2019,60
14/9/2019,34
15/9/2019,21
16/9/2019,30
17/9/2019,29
18/9/2019,73
19/9/2019,81
20/9/2019,71
21/9/2019,86
22/9/2019,77
23/9/2019,63
24/9/2019,59
25/9/2019,37
26/9/2019,27
27/9/2019,24
28/9/2019,19
29/9/2019,16
30/9/2019,27
1/10/2019,28
2/10/2019,30
3/10/2019,33
4/10/2019,33
5/10/2019,39
6/10/2019,32
7/10/2019,26
8/10/2019,21
9/10/2019,15
10/10/2019,24
11/10/2019,26
12/10/2019,31
13/10/2019,21
14/10/2019,21
15/10/2019,22
16/10/2019,25
17/10/2019,13
18/10/2019,18
19/10/2019,14
20/10/2019,15
21/10/2019,16
22/10/2019,15
23/10/2019,25
24/10/2019,31
25/10/2019,24
26/10/2019,24
27/10/2019,22
28/10/2019,19
29/10/2019,20
30/10/2019,27
31/10/2019,34
1/11/2019,28
2/11/2019,23
3/11/2019,21
4/11/2019,17
5/11/2019,23
6/11/2019,25
7/11/2019,25
8/11/2019,24
9/11/2019,22
10/11/2019,26
11/11/2019,46
12/11/2019,52
13/11/2019,42
14/11/2019,33
15/11/2019,29
16/11/2019,27
17/11/2019,28
18/11/2019,25
19/11/2019,26
20/11/2019,23
21/11/2019,30
22/11/2019,24
23/11/2019,19
24/11/2019,26
25/11/2019,17
26/11/2019,15
27/11/2019,19
28/11/2019,24
29/11/2019,31
30/11/2019,23
1/12/2019,22
2/12/2019,23
3/12/2019,28
4/12/2019,30
5/12/2019,33
6/12/2019,31
7/12/2019,31
8/12/2019,32
9/12/2019,33
10/12/2019,34
11/12/2019,31
12/12/2019,34
13/12/2019,29
14/12/2019,33
15/12/2019,25
16/12/2019,24
17/12/2019,24
18/12/2019,21
19/12/2019,22
20/12/2019,21
21/12/2019,27
22/12/2019,30
23/12/2019,31
24/12/2019,29
25/12/2019,31
26/12/2019,29
27/12/2019,31
28/12/2019,29
29/12/2019,29
30/12/2019,20
31/12/2019,18
1/1/2020,27
2/1/2020,26
3/1/2020,24
4/1/2020,25
5/1/2020,28
6/1/2020,39
7/1/2020,31
8/1/2020,21
9/1/2020,24
10/1/2020,27
11/1/2020,27
12/1/2020,30
13/1/2020,26
14/1/2020,23
15/1/2020,34
16/1/2020,42
17/1/2020,43
18/1/2020,35
